filename,width,height,class,xmin,ymin,xmax,ymax
6A65D841-153B-4865-B946-A9DCF1456697.jpg,500,500,vehicle,9,89,239,201
6A65D841-153B-4865-B946-A9DCF1456697.jpg,500,500,taxi,235,422,290,454
6DA162C7-1AEF-45EF-8E0C-F92743C1FEC3.jpg,500,500,vehicle,52,131,297,270
6DA162C7-1AEF-45EF-8E0C-F92743C1FEC3.jpg,500,500,car-old,215,152,270,180
58AB9DF5-218C-4663-B4F9-086A2797CC12.jpg,500,500,vehicle,3,106,223,222
58AB9DF5-218C-4663-B4F9-086A2797CC12.jpg,500,500,motorcycle,261,376,316,409
2681AFDB-AB36-49D7-9E5D-58E07798A56C.jpg,500,500,vehicle,3,127,238,318
2681AFDB-AB36-49D7-9E5D-58E07798A56C.jpg,500,500,car-old,269,390,314,421
6FDD322E-62AF-42D0-A636-6B5ECF3EC54A.jpg,500,500,vehicle,61,351,321,489
6FDD322E-62AF-42D0-A636-6B5ECF3EC54A.jpg,500,500,disabled,151,247,201,284
908786B6-1BF2-486E-B6F6-FEA6BBEECE42.jpg,500,500,vehicle,26,39,281,166
908786B6-1BF2-486E-B6F6-FEA6BBEECE42.jpg,500,500,car-old,375,81,425,108
AB6B9488-16D3-47BF-8C12-FBB34ED43428.jpg,500,500,vehicle,133,65,333,205
AB6B9488-16D3-47BF-8C12-FBB34ED43428.jpg,500,500,small-truck,382,186,427,209
A45DBC6A-FD9C-4D2D-A76E-1DE9A80EDA90.jpg,500,500,vehicle,258,248,473,385
A45DBC6A-FD9C-4D2D-A76E-1DE9A80EDA90.jpg,500,500,car-new,232,320,287,356
0ADF1721-6A81-4582-887C-131FC356DC16.jpg,500,500,vehicle,267,119,472,225
0ADF1721-6A81-4582-887C-131FC356DC16.jpg,500,500,car-old,84,314,129,340
7B8EF5F6-BC5B-4BCC-A78F-BA2B09782361.jpg,500,500,vehicle,76,382,351,499
7B8EF5F6-BC5B-4BCC-A78F-BA2B09782361.jpg,500,500,car-new,242,242,292,278
11AF3437-57C1-484F-8949-2E01A089297B.jpg,500,500,vehicle,112,91,352,222
11AF3437-57C1-484F-8949-2E01A089297B.jpg,500,500,motorcycle,273,4,333,34
B88D9284-9376-4602-8C53-ADA0B290DDFE.jpg,500,500,vehicle,180,262,425,373
B88D9284-9376-4602-8C53-ADA0B290DDFE.jpg,500,500,car-old,439,279,499,319
8C6DEE09-1E41-46F0-B35D-935EF1D0C335.jpg,500,500,vehicle,219,307,484,492
8C6DEE09-1E41-46F0-B35D-935EF1D0C335.jpg,500,500,small-truck,356,54,411,92
85405E47-DAA6-47C7-9739-1145B3D31363.jpg,500,500,vehicle,247,73,462,158
85405E47-DAA6-47C7-9739-1145B3D31363.jpg,500,500,truck,304,157,354,183
986FEFE0-5DAE-401C-A294-67151E9CF98B.jpg,500,500,vehicle,209,44,454,177
986FEFE0-5DAE-401C-A294-67151E9CF98B.jpg,500,500,car-old,368,188,418,215
BB586653-FFAD-416C-8071-FDD4D9D6BC9F.jpg,500,500,vehicle,167,238,432,395
BB586653-FFAD-416C-8071-FDD4D9D6BC9F.jpg,500,500,small-truck,378,462,428,490
1C79C14E-E80B-4D6D-A075-6C7033988A60.jpg,500,500,vehicle,194,167,439,291
1C79C14E-E80B-4D6D-A075-6C7033988A60.jpg,500,500,car-new,356,173,401,198
FC11A55B-9A83-410A-AEF1-9030FAFDFB81.jpg,500,500,vehicle,122,246,407,458
FC11A55B-9A83-410A-AEF1-9030FAFDFB81.jpg,500,500,motorcycle,310,411,355,440
61F9B416-8CF2-4E59-BE89-1AB0D942EAB4.jpg,500,500,vehicle,93,58,348,166
61F9B416-8CF2-4E59-BE89-1AB0D942EAB4.jpg,500,500,car-new,78,65,128,101
4BB990A0-2116-49AD-9DF7-F46A2682321B.jpg,500,500,vehicle,61,137,336,229
4BB990A0-2116-49AD-9DF7-F46A2682321B.jpg,500,500,taxi,127,117,177,145
D8CDE723-8ACA-4581-97BD-258E2C62D0E6.jpg,500,500,vehicle,151,49,396,128
D8CDE723-8ACA-4581-97BD-258E2C62D0E6.jpg,500,500,car-new,258,75,303,100
