filename,width,height,class,xmin,ymin,xmax,ymax
disabled_644.jpg,500,500,disabled,70.0,384.0,264.0,499.0
disabled_190.jpg,500,500,disabled,90.0,313.0,245.0,394.0
car-new_KCK-837.jpg,500,500,car-new,118.0,371.0,265.0,454.0
small-truck_365380.jpg,500,500,small-truck,17.0,119.0,162.0,222.0
motorcycle_173740.jpg,500,500,motorcycle,206.0,36.0,407.0,142.0
truck_493207.jpg,500,500,truck,228.0,55.0,378.0,148.0
truck_395917.jpg,500,500,truck,188.0,303.0,305.0,371.0
small-truck_913000.jpg,500,500,small-truck,295.0,159.0,476.0,284.0
disabled_909.jpg,500,500,disabled,335.0,239.0,488.0,348.0
taxi_7111.jpg,500,500,taxi,66.0,124.0,238.0,216.0
small-truck_435625.jpg,500,500,small-truck,379.0,79.0,489.0,151.0
truck_385023.jpg,500,500,truck,52.0,255.0,203.0,349.0
small-truck_184281.jpg,500,500,small-truck,59.0,401.0,171.0,472.0
small-truck_489258.jpg,500,500,small-truck,81.0,0.0,234.0,77.0
car-new_CBA-197.jpg,500,500,car-new,325.0,58.0,483.0,153.0
car-new_NVL-596.jpg,500,500,car-new,197.0,398.0,334.0,495.0
motorcycle_401464.jpg,500,500,motorcycle,6.0,216.0,215.0,319.0
disabled_322.jpg,500,500,disabled,126.0,20.0,285.0,126.0
taxi_3774.jpg,500,500,taxi,233.0,69.0,358.0,132.0
car-new_PLO-422.jpg,500,500,car-new,186.0,393.0,373.0,496.0
disabled_412.jpg,500,500,disabled,189.0,96.0,376.0,198.0
motorcycle_567785.jpg,500,500,motorcycle,113.0,294.0,298.0,405.0
car-old_940286.jpg,500,500,car-old,60.0,53.0,227.0,144.0
disabled_322.jpg,500,500,disabled,85.0,266.0,263.0,392.0
taxi_3955.jpg,500,500,taxi,62.0,40.0,236.0,133.0
motorcycle_999657.jpg,500,500,motorcycle,114.0,283.0,324.0,389.0
motorcycle_460774.jpg,500,500,motorcycle,88.0,399.0,206.0,478.0
motorcycle_507730.jpg,500,500,motorcycle,261.0,345.0,420.0,438.0
taxi_4865.jpg,500,500,taxi,162.0,168.0,275.0,247.0
