filename,width,height,class,xmin,ymin,xmax,ymax
taxi_2526.jpg,500,500,taxi,18.0,221.0,312.0,431.0
disabled_360.jpg,500,500,disabled,236.0,276.0,375.0,363.0
motorcycle_426076.jpg,500,500,motorcycle,33.0,274.0,172.0,374.0
disabled_852.jpg,500,500,disabled,182.0,288.0,323.0,387.0
taxi_9809.jpg,500,500,taxi,322.0,195.0,391.0,258.0
truck_265881.jpg,500,500,truck,252.0,25.0,318.0,64.0
car-old_111940.jpg,500,500,car-old,153.0,89.0,428.0,228.0
car-new_ODF-980.jpg,500,500,car-new,78.0,200.0,150.0,259.0
car-old_403623.jpg,500,500,car-old,107.0,108.0,249.0,190.0
car-old_836696.jpg,500,500,car-old,29.0,179.0,295.0,325.0
disabled_354.jpg,500,500,disabled,316.0,245.0,385.0,303.0
motorcycle_201101.jpg,500,500,motorcycle,299.0,384.0,370.0,434.0
car-new_ESZ-509.jpg,500,500,car-new,142.0,362.0,276.0,442.0
small-truck_962781.jpg,500,500,small-truck,123.0,85.0,266.0,204.0
car-new_TPR-964.jpg,500,500,car-new,185.0,4.0,333.0,119.0
taxi_9610.jpg,500,500,taxi,274.0,322.0,421.0,423.0
motorcycle_466916.jpg,500,500,motorcycle,305.0,96.0,370.0,137.0
disabled_271.jpg,500,500,disabled,263.0,307.0,400.0,379.0
motorcycle_967696.jpg,500,500,motorcycle,403.0,305.0,469.0,344.0
taxi_8618.jpg,500,500,taxi,4.0,179.0,76.0,227.0
truck_434075.jpg,500,500,truck,274.0,152.0,415.0,219.0
taxi_7791.jpg,500,500,taxi,58.0,93.0,190.0,187.0
motorcycle_620488.jpg,500,500,motorcycle,122.0,418.0,192.0,470.0
taxi_6311.jpg,500,500,taxi,106.0,80.0,252.0,181.0
motorcycle_762024.jpg,500,500,motorcycle,50.0,81.0,117.0,118.0
car-old_179510.jpg,500,500,car-old,167.0,37.0,438.0,182.0
car-new_UFZ-959.jpg,500,500,car-new,109.0,98.0,386.0,305.0
truck_051454.jpg,500,500,truck,158.0,251.0,428.0,488.0
taxi_2697.jpg,500,500,taxi,295.0,91.0,436.0,189.0
truck_829639.jpg,500,500,truck,68.0,174.0,348.0,348.0
car-new_QRG-389.jpg,500,500,car-new,294.0,55.0,366.0,116.0
car-old_501641.jpg,500,500,car-old,46.0,358.0,177.0,439.0
taxi_8789.jpg,500,500,taxi,122.0,156.0,191.0,214.0
disabled_430.jpg,500,500,disabled,46.0,190.0,179.0,291.0
disabled_028.jpg,500,500,disabled,195.0,273.0,337.0,390.0
truck_737466.jpg,500,500,truck,77.0,368.0,220.0,459.0
car-new_IXH-709.jpg,500,500,car-new,106.0,177.0,367.0,332.0
car-old_954287.jpg,500,500,car-old,80.0,426.0,153.0,482.0
taxi_4577.jpg,500,500,taxi,107.0,394.0,243.0,484.0
car-old_746190.jpg,500,500,car-old,191.0,264.0,259.0,313.0
car-new_SND-185.jpg,500,500,car-new,120.0,186.0,385.0,352.0
car-new_HKL-880.jpg,500,500,car-new,341.0,339.0,487.0,450.0
motorcycle_833621.jpg,500,500,motorcycle,163.0,121.0,429.0,341.0
small-truck_028573.jpg,500,500,small-truck,40.0,314.0,310.0,492.0
taxi_0030.jpg,500,500,taxi,101.0,63.0,381.0,298.0
disabled_301.jpg,500,500,disabled,180.0,456.0,252.0,493.0
motorcycle_449422.jpg,500,500,motorcycle,308.0,38.0,380.0,93.0
small-truck_849043.jpg,500,500,small-truck,343.0,402.0,479.0,474.0
